drug,effect,cosine_similarities
['enoxaparin'],['thrombocytosis'],"[('enoxaparin', 'thrombocytosis', np.float32(0.98516804))]"
"['anti-d igiv', 'dic']",[],"[(None, None, None)]"
['timolol'],[],"[(None, None, None)]"
['valproate'],[],"[(None, None, None)]"
"['infliximab', 'leflunomide']",['syringotropic hypersensitivity reaction'],"[('infliximab', 'syringotropic hypersensitivity reaction', np.float32(0.8363126)), ('leflunomide', 'syringotropic hypersensitivity reaction', np.float32(0.6989618))]"
"['sertraline', 'fluoxetine']",['itch'],"[('sertraline', 'itch', np.float32(0.831748)), ('fluoxetine', 'itch', np.float32(0.84049404))]"
"['pyrimethamine', 'sulfadiazine']",[],"[(None, None, None)]"
[],['milk-alkali syndrome'],"[(None, None, None)]"
"['lidocaine', 'bupivacaine']",['methemoglobinemia'],"[('lidocaine', 'methemoglobinemia', np.float32(0.8765938)), ('bupivacaine', 'methemoglobinemia', np.float32(0.93976957))]"
['mineral oil'],['lipoid pneumonia'],"[('mineral oil', 'lipoid pneumonia', np.float32(0.814649))]"
['infliximab'],[],"[(None, None, None)]"
[],['necrotizing fasciitis'],"[(None, None, None)]"
[],['cortical negative myoclonus'],"[(None, None, None)]"
[],['lithium toxicity'],"[(None, None, None)]"
[],['cutaneous pigmentation'],"[(None, None, None)]"
"['carbamazepine', 'lynestrenol']",['hepatopathy'],"[('carbamazepine', 'hepatopathy', np.float32(0.7133033)), ('lynestrenol', 'hepatopathy', np.float32(0.97535634))]"
['pantoprazole'],[],"[(None, None, None)]"
['nitroglycerin'],[],"[(None, None, None)]"
[],['tics'],"[(None, None, None)]"
['methotrexate'],['toxic hepatitis'],"[('methotrexate', 'toxic hepatitis', np.float32(0.5451918))]"
['mtx'],[],"[(None, None, None)]"
['erythromycin'],['rhabdomyolysis'],"[('erythromycin', 'rhabdomyolysis', np.float32(0.76848584))]"
['l-thyroxine'],"['coronary spasm', 'acute myocardial infarction']","[('l-thyroxine', 'coronary spasm', None), ('l-thyroxine', 'acute myocardial infarction', None)]"
"['vinblastine', 'bleomycin']",['gangrene'],"[('vinblastine', 'gangrene', np.float32(0.8963731)), ('bleomycin', 'gangrene', np.float32(0.9306828))]"
[],['toxic epidermal necrolysis'],"[(None, None, None)]"
['amphotericin b'],['palpable purpuric skin lesions'],"[('amphotericin b', 'palpable purpuric skin lesions', np.float32(0.7164686))]"
"['cs', 'corticosteroid']",['leishmania infantum leishmaniasis'],"[('cs', 'leishmania infantum leishmaniasis', np.float32(0.93867135)), ('corticosteroid', 'leishmania infantum leishmaniasis', np.float32(0.9644366))]"
['methimazole'],['choanal atresia'],"[('methimazole', 'choanal atresia', np.float32(0.94040364))]"
[],"['acute kidney injury', 'hypersensitivity syndrome']","[(None, None, None)]"
['quinacrine hydrochloride'],['psychosis'],"[('quinacrine hydrochloride', 'psychosis', np.float32(0.8196004))]"
['vinorelbine'],['siadh'],"[('vinorelbine', 'siadh', np.float32(0.93176))]"
"['methotrexate', 'hdmtx']",['renal failure'],"[('methotrexate', 'renal failure', np.float32(0.54215574)), ('hdmtx', 'renal failure', np.float32(0.61402893))]"
['ifosfamide'],['nonconvulsive status epilepticus'],"[('ifosfamide', 'nonconvulsive status epilepticus', np.float32(0.9424894))]"
['aminophylline'],['hypersensitivity reaction'],"[('aminophylline', 'hypersensitivity reaction', np.float32(0.693062))]"
['minocycline'],[],"[(None, None, None)]"
['penicillamine'],['neurologic syndrome'],"[('penicillamine', 'neurologic syndrome', np.float32(0.67118335))]"
['insulin'],['hypoglycemia'],"[('insulin', 'hypoglycemia', np.float32(0.90015125))]"
['trazodone hydrochloride'],[],"[(None, None, None)]"
['sulfamethoxazole-trimethoprim'],['hyperkalaemia'],"[('sulfamethoxazole-trimethoprim', 'hyperkalaemia', None)]"
['ketorolac'],['ototoxicity'],"[('ketorolac', 'ototoxicity', np.float32(0.9166746))]"
['trimethoprim-sulfamethoxazole'],[],"[(None, None, None)]"
['leflunomide'],[],"[(None, None, None)]"
['methotrexate'],[],"[(None, None, None)]"
"['melphalan', 'busulfan']",['interstitial lung fibrosis'],"[('melphalan', 'interstitial lung fibrosis', np.float32(0.77046776)), ('busulfan', 'interstitial lung fibrosis', np.float32(0.73588777))]"
['sda'],"['rd', 'td']","[('sda', 'rd', np.float32(0.97847074)), ('sda', 'td', np.float32(0.9801039))]"
['lorcainide'],"['hypoosmolality', 'hyponatremia']","[('lorcainide', 'hypoosmolality', np.float32(0.9933987)), ('lorcainide', 'hyponatremia', np.float32(0.91007495))]"
['amantadine'],['bilateral corneal edema'],"[('amantadine', 'bilateral corneal edema', np.float32(0.9088317))]"
['glatiramer acetate'],[],"[(None, None, None)]"
['cisplatin'],[],"[(None, None, None)]"
[],['agranulocytosis'],"[(None, None, None)]"
[],[],"[(None, None, None)]"
['fentanyl'],[],"[(None, None, None)]"
['phosphate'],['hypokalemia'],"[('phosphate', 'hypokalemia', np.float32(0.91231006))]"
['cisplatin'],['anaphylaxis'],"[('cisplatin', 'anaphylaxis', np.float32(0.7919227))]"
['tegaserod'],['ischemic colitis'],"[('tegaserod', 'ischemic colitis', np.float32(0.97894293))]"
['succinylcholine'],"['mucositis', 'fatal hyperkalemia']","[('succinylcholine', 'mucositis', np.float32(0.92925876)), ('succinylcholine', 'fatal hyperkalemia', np.float32(0.8507673))]"
['il-2'],['cognitive dysfunction'],"[('il-2', 'cognitive dysfunction', np.float32(0.9022103))]"
['methotrexate'],['gastrointestinal ulceration'],"[('methotrexate', 'gastrointestinal ulceration', np.float32(0.50015014))]"
[],['ain'],"[(None, None, None)]"
['ritonavir'],['arrhythmias'],"[('ritonavir', 'arrhythmias', np.float32(0.9278176))]"
['gabapentin'],[],"[(None, None, None)]"
['clarithromycin'],['rhabdomyolysis'],"[('clarithromycin', 'rhabdomyolysis', np.float32(0.84406954))]"
['sulfasalazine'],[],"[(None, None, None)]"
['etanercept'],['pulmonary lymphohistiocytic reactions'],"[('etanercept', 'pulmonary lymphohistiocytic reactions', np.float32(0.7768884))]"
['copaxone'],"[""crohn's disease""]","[('copaxone', ""crohn's disease"", np.float32(0.6349296))]"
['hcq'],['lethal cardiac arrhythmias'],"[('hcq', 'lethal cardiac arrhythmias', np.float32(0.8988532))]"
['metoclopramide'],['unresponsiveness'],"[('metoclopramide', 'unresponsiveness', np.float32(0.9300737))]"
['methotrexate'],[],"[(None, None, None)]"
['clopidogrel'],['sirolimus-eluting stent thrombosis'],"[('clopidogrel', 'sirolimus-eluting stent thrombosis', np.float32(0.95262897))]"
['metronidazole'],[],"[(None, None, None)]"
['quinine sulfate'],[],"[(None, None, None)]"
"['infliximab', 'efalizumab']",[],"[(None, None, None)]"
[],['sjs'],"[(None, None, None)]"
['ticlopidine'],['severe aplastic anemia'],"[('ticlopidine', 'severe aplastic anemia', np.float32(0.80234164))]"
['risperidone'],['td'],"[('risperidone', 'td', np.float32(0.8916414))]"
['mefloquine'],[],"[(None, None, None)]"
['lorazepam'],['tonic seizures'],"[('lorazepam', 'tonic seizures', np.float32(0.9556999))]"
['halcinonide'],['postprandial hyperglycemia'],"[('halcinonide', 'postprandial hyperglycemia', np.float32(0.98358244))]"
['colchicine'],"[""peyronie's disease""]","[('colchicine', ""peyronie's disease"", np.float32(0.6227327))]"
['aza'],"['allergic side effects', 'allergic skin eruptions']","[('aza', 'allergic side effects', np.float32(0.8821831)), ('aza', 'allergic skin eruptions', np.float32(0.75542045))]"
['topiramate'],[],"[(None, None, None)]"
['amphotericin b deoxycholate'],[],"[(None, None, None)]"
[],['neurotoxicity'],"[(None, None, None)]"
['erlotinib'],['fatal pulmonary toxicity'],"[('erlotinib', 'fatal pulmonary toxicity', np.float32(0.82558745))]"
"['phenobarbital', 'chlorpromazine']",[],"[(None, None, None)]"
"['suxamethonium', 'serumcholinesterase']",['apnoea'],"[('suxamethonium', 'apnoea', np.float32(0.9883688)), ('serumcholinesterase', 'apnoea', np.float32(0.983122))]"
"['5-fu', 'thymidine']","['neurologic symptoms', 'encephalopathy', 'coma']","[('5-fu', 'neurologic symptoms', None), ('5-fu', 'encephalopathy', None), ('5-fu', 'coma', None), ('thymidine', 'neurologic symptoms', np.float32(0.75539094)), ('thymidine', 'encephalopathy', np.float32(0.8397268)), ('thymidine', 'coma', np.float32(0.8582617))]"
['aminophylline'],['hypersensitivity reaction'],"[('aminophylline', 'hypersensitivity reaction', np.float32(0.693062))]"
['insulin'],['hyperglycaemia'],"[('insulin', 'hyperglycaemia', np.float32(0.84324074))]"
[],['early-onset acute transverse myelitis'],"[(None, None, None)]"
['paclitaxel'],['pulmonary fibrosis'],"[('paclitaxel', 'pulmonary fibrosis', np.float32(0.7894459))]"
['l-asparaginase'],[],"[(None, None, None)]"
"['zyprexa', 'olanzapine']","['neutropenia', 'agranulocytosis']","[('zyprexa', 'neutropenia', np.float32(0.92685705)), ('zyprexa', 'agranulocytosis', np.float32(0.84897095)), ('olanzapine', 'neutropenia', np.float32(0.7996857)), ('olanzapine', 'agranulocytosis', np.float32(0.7683917))]"
['l-dopa'],"['myoclonus', 'generalized seizures']","[('l-dopa', 'myoclonus', None), ('l-dopa', 'generalized seizures', None)]"
['interferon alpha'],"['dilated cardiomyopathy', 'polymyositis']","[('interferon alpha', 'dilated cardiomyopathy', np.float32(0.7868063)), ('interferon alpha', 'polymyositis', np.float32(0.76760703))]"
"['cimetidine', 'tolazoline']",['upper gastrointestinal bleeding'],"[('cimetidine', 'upper gastrointestinal bleeding', np.float32(0.87355024)), ('tolazoline', 'upper gastrointestinal bleeding', np.float32(0.9268324))]"
['methotrexate'],['neurotoxicity'],"[('methotrexate', 'neurotoxicity', np.float32(0.7509649))]"
['norpace'],['hypoglycemia'],"[('norpace', 'hypoglycemia', np.float32(0.8878744))]"
['methotrexate'],['toxic hepatitis'],"[('methotrexate', 'toxic hepatitis', np.float32(0.5451918))]"
['acth'],[],"[(None, None, None)]"
"['infliximab', 'leflunomide']",['syringotropic hypersensitivity reaction'],"[('infliximab', 'syringotropic hypersensitivity reaction', np.float32(0.8363126)), ('leflunomide', 'syringotropic hypersensitivity reaction', np.float32(0.6989618))]"
"['epinephrine', 'phenylephrine']",['severe hypertension'],"[('epinephrine', 'severe hypertension', np.float32(0.8296009)), ('phenylephrine', 'severe hypertension', np.float32(0.782598))]"
['prednisone'],[],"[(None, None, None)]"
['lithium'],['exophthalmos'],"[('lithium', 'exophthalmos', np.float32(0.80275804))]"
['ifn-alpha'],"['thyroid disorders', 'autoimmune thyroiditis']","[('ifn-alpha', 'thyroid disorders', None), ('ifn-alpha', 'autoimmune thyroiditis', None)]"
['prednisone'],['fever'],"[('prednisone', 'fever', np.float32(0.41295224))]"
"['methimazole', 'propylthiouracil']",['cutaneous reactions'],"[('methimazole', 'cutaneous reactions', np.float32(0.67492044)), ('propylthiouracil', 'cutaneous reactions', np.float32(0.7281795))]"
['pegylated interferon alpha'],['acute dystonia'],"[('pegylated interferon alpha', 'acute dystonia', np.float32(0.63882077))]"
['oxcarbazepine'],['uncontrolled headache'],"[('oxcarbazepine', 'uncontrolled headache', np.float32(0.8969943))]"
['ibuprofen'],[],"[(None, None, None)]"
"['ciprofloxacin', 'piperacillin']",['thrombocytosis'],"[('ciprofloxacin', 'thrombocytosis', np.float32(0.88737667)), ('piperacillin', 'thrombocytosis', np.float32(0.9669086))]"
['m-csf'],[],"[(None, None, None)]"
['mitoxantrone'],['neh'],"[('mitoxantrone', 'neh', np.float32(0.95467))]"
['psl'],['fracture of the femoral neck'],"[('psl', 'fracture of the femoral neck', np.float32(0.9266994))]"
['pegylated interferon alpha'],['acute dystonia'],"[('pegylated interferon alpha', 'acute dystonia', np.float32(0.63882077))]"
['tamoxifen'],['endometriosis'],"[('tamoxifen', 'endometriosis', np.float32(0.86957616))]"
"['cisplatin', 'vinblastine', 'bleomycin']",['posterior leukoencephalopathy'],"[('cisplatin', 'posterior leukoencephalopathy', np.float32(0.8038159)), ('vinblastine', 'posterior leukoencephalopathy', np.float32(0.8180653)), ('bleomycin', 'posterior leukoencephalopathy', np.float32(0.89489233))]"
['agno3'],['generalized argyria'],"[('agno3', 'generalized argyria', np.float32(0.8795693))]"
['lansoprazole'],['collagenous colitis'],"[('lansoprazole', 'collagenous colitis', np.float32(0.8385541))]"
['ara-c'],[],"[(None, None, None)]"
['vincristine'],['severe visual loss'],"[('vincristine', 'severe visual loss', np.float32(0.79374325))]"
"['pioglitazone', 'troglitazone']",['bilateral lower leg edema'],"[('pioglitazone', 'bilateral lower leg edema', np.float32(0.9192772)), ('troglitazone', 'bilateral lower leg edema', np.float32(0.8418525))]"
['olanzapine'],['hyperglycemia'],"[('olanzapine', 'hyperglycemia', np.float32(0.85374707))]"
['cis-platinum'],['ototoxicity'],"[('cis-platinum', 'ototoxicity', None)]"
['penicillin g'],"['neurosyphilis', 'jhr']","[('penicillin g', 'neurosyphilis', np.float32(0.8749378)), ('penicillin g', 'jhr', np.float32(0.8955614))]"
['quetiapine'],['myoclonic jerks'],"[('quetiapine', 'myoclonic jerks', np.float32(0.63970876))]"
['sibutramine'],[],"[(None, None, None)]"
['mebendazole'],[],"[(None, None, None)]"
"['phenobarbital', 'phenytoin', 'acetazolamide']",['severe osteomalacia'],"[('phenobarbital', 'severe osteomalacia', np.float32(0.83622223)), ('phenytoin', 'severe osteomalacia', np.float32(0.80481017)), ('acetazolamide', 'severe osteomalacia', np.float32(0.9186521))]"
['doxorubicin'],['cardiomyopathy'],"[('doxorubicin', 'cardiomyopathy', np.float32(0.9314095))]"
['l-asparaginase'],['seizures'],"[('l-asparaginase', 'seizures', None)]"
['thalidomide'],[],"[(None, None, None)]"
[],['renal insufficiency'],"[(None, None, None)]"
['propylthiouracil'],['agranulocytosis'],"[('propylthiouracil', 'agranulocytosis', np.float32(0.79668456))]"
['carbamazepine'],['sle'],"[('carbamazepine', 'sle', np.float32(0.4944755))]"
['insulin'],[],"[(None, None, None)]"
['pyridostigmine bromide'],"['bromide intoxication', 'postoperative psychosis']","[('pyridostigmine bromide', 'bromide intoxication', np.float32(0.9581177)), ('pyridostigmine bromide', 'postoperative psychosis', np.float32(0.93112147))]"
"['uft', 'uracil-tegafur']",['scleroderma-like reaction'],"[('uft', 'scleroderma-like reaction', np.float32(0.6419223)), ('uracil-tegafur', 'scleroderma-like reaction', None)]"
['olanzapine'],[],"[(None, None, None)]"
['ifn'],[],"[(None, None, None)]"
"['clindamycin phosphate', 'clindamycin']",['cdic'],"[('clindamycin phosphate', 'cdic', np.float32(0.91423124)), ('clindamycin', 'cdic', np.float32(0.87785965))]"
['budesonide'],[],"[(None, None, None)]"
"['pexid', 'perhexiline maleate']",[],"[(None, None, None)]"
"['pyrimethamine', 'sulfadiazine']",[],"[(None, None, None)]"
['tamoxifen'],['ovarian endometrioid adenocarcinoma'],"[('tamoxifen', 'ovarian endometrioid adenocarcinoma', np.float32(0.8579332))]"
[],['lithium toxicity'],"[(None, None, None)]"
['infliximab'],['mycobacterium abscessus'],"[('infliximab', 'mycobacterium abscessus', np.float32(0.84651405))]"
[],"['cerebral vascular malformation', 'hemorrhage']","[(None, None, None)]"
['clozapine'],['eosinophilia'],"[('clozapine', 'eosinophilia', np.float32(0.46843117))]"
['cibenzoline'],[],"[(None, None, None)]"
['nabumetone'],[],"[(None, None, None)]"
[],['sustained ventricular tachycardia'],"[(None, None, None)]"
['levodopa'],['augmentation'],"[('levodopa', 'augmentation', np.float32(0.9683846))]"
['d-penicillamine'],[],"[(None, None, None)]"
"['methylprednisolone', 'insulin']",['glycemia'],"[('methylprednisolone', 'glycemia', np.float32(0.9067124)), ('insulin', 'glycemia', np.float32(0.83660626))]"
['adenosine'],[],"[(None, None, None)]"
['vardenafil'],['symptomatic paroxysmal atrial fibrillation'],"[('vardenafil', 'symptomatic paroxysmal atrial fibrillation', np.float32(0.9182403))]"
['decadron'],['cataracts'],"[('decadron', 'cataracts', np.float32(0.9818779))]"
['inh'],['neurotoxicity'],"[('inh', 'neurotoxicity', np.float32(0.9147513))]"
['tbii'],[],"[(None, None, None)]"
"['dacryolith', 'adrenaline']",[],"[(None, None, None)]"
['statin'],['myasthenic syndrome'],"[('statin', 'myasthenic syndrome', np.float32(0.77349526))]"
['vardenafil'],['atrial fibrillation'],"[('vardenafil', 'atrial fibrillation', np.float32(0.85513705))]"
[],['photo-onycholysis'],"[(None, None, None)]"
['etoposide'],['saml'],"[('etoposide', 'saml', np.float32(0.90782243))]"
['infliximab'],[],"[(None, None, None)]"
"['methazolamide', 'acetazolamide']",['aplastic anemia'],"[('methazolamide', 'aplastic anemia', np.float32(0.7908747)), ('acetazolamide', 'aplastic anemia', np.float32(0.8911414))]"
['l-asparaginase'],[],"[(None, None, None)]"
['cisplatin'],['fever'],"[('cisplatin', 'fever', np.float32(0.58074087))]"
"['adriamycin', 'cisplatin']",['tonic-clonic seizures'],"[('adriamycin', 'tonic-clonic seizures', np.float32(0.854877)), ('cisplatin', 'tonic-clonic seizures', np.float32(0.8102265))]"
['glibenclamide'],"['hypoglycaemic coma', 'intrahepatic cholestasis']","[('glibenclamide', 'hypoglycaemic coma', np.float32(0.95518535)), ('glibenclamide', 'intrahepatic cholestasis', np.float32(0.92108315))]"
['valproate'],['reproductive endocrine disorders'],"[('valproate', 'reproductive endocrine disorders', np.float32(0.8958221))]"
['verapamil'],['angina pectoris'],"[('verapamil', 'angina pectoris', np.float32(0.91158783))]"
['clioquinol'],['retrograde amnesia'],"[('clioquinol', 'retrograde amnesia', np.float32(0.9734621))]"
['propranolol'],[],"[(None, None, None)]"
"['methotrexate', 'mtx']",['stroke-like leukoencephalopathy'],"[('methotrexate', 'stroke-like leukoencephalopathy', np.float32(0.736904)), ('mtx', 'stroke-like leukoencephalopathy', np.float32(0.843123))]"
"['verapamil', 'quinidine']",[],"[(None, None, None)]"
"['ptu', 'azathioprine']",['tinnitus'],"[('ptu', 'tinnitus', np.float32(0.85842896)), ('azathioprine', 'tinnitus', np.float32(0.9201295))]"
[],['immune hemolysis'],"[(None, None, None)]"
['cbz'],['asterixis'],"[('cbz', 'asterixis', np.float32(0.7711573))]"
['quetiapine'],['agranulocytosis'],"[('quetiapine', 'agranulocytosis', np.float32(0.89117056))]"
['phenobarbital'],['maladaptive behaviors'],"[('phenobarbital', 'maladaptive behaviors', np.float32(0.9417307))]"
['diamorphine'],['anaphylaxis'],"[('diamorphine', 'anaphylaxis', np.float32(0.93080664))]"
['recombinant interferon alpha-2b'],[],"[(None, None, None)]"
['adenine arabinoside'],['hyponatremia'],"[('adenine arabinoside', 'hyponatremia', np.float32(0.801826))]"
"['vancomycin', 'tazobactam']",['neuralgic amyotrophy'],"[('vancomycin', 'neuralgic amyotrophy', np.float32(0.9452645)), ('tazobactam', 'neuralgic amyotrophy', np.float32(0.94549984))]"
['tigecycline'],['acute pancreatitis'],"[('tigecycline', 'acute pancreatitis', np.float32(0.79568))]"
"['methazolamide', 'neptazane']",['metabolic acidosis'],"[('methazolamide', 'metabolic acidosis', np.float32(0.705932)), ('neptazane', 'metabolic acidosis', np.float32(0.69798714))]"
"['oxaliplatinum', '5-fluorouracil']",[],"[(None, None, None)]"
['ofloxacin'],['seizures'],"[('ofloxacin', 'seizures', np.float32(0.8884473))]"
['piroxicam'],['ulcers'],"[('piroxicam', 'ulcers', np.float32(0.9742526))]"
['gelatine'],['anaphylaxis'],"[('gelatine', 'anaphylaxis', np.float32(0.97377306))]"
['timolol'],['hyperkalemic'],"[('timolol', 'hyperkalemic', np.float32(0.9666457))]"
['albendazole'],['fever'],"[('albendazole', 'fever', np.float32(0.6280686))]"
['vinblastine'],['hyponatremic episode'],"[('vinblastine', 'hyponatremic episode', np.float32(0.8392855))]"
['benzocaine'],['methemoglobinemia'],"[('benzocaine', 'methemoglobinemia', np.float32(0.9235314))]"
[],['hyperammonemia'],"[(None, None, None)]"
['penicillamine'],['brainstem lesions'],"[('penicillamine', 'brainstem lesions', np.float32(0.88819265))]"
['bromocriptine'],"['psychosis', 'schizophrenia']","[('bromocriptine', 'psychosis', np.float32(0.8596526)), ('bromocriptine', 'schizophrenia', np.float32(0.90056264))]"
"['zyprexa', 'olanzapine']","['neutropenia', 'agranulocytosis']","[('zyprexa', 'neutropenia', np.float32(0.92685705)), ('zyprexa', 'agranulocytosis', np.float32(0.84897095)), ('olanzapine', 'neutropenia', np.float32(0.7996857)), ('olanzapine', 'agranulocytosis', np.float32(0.7683917))]"
['adriamycin'],['congestive heart failure'],"[('adriamycin', 'congestive heart failure', np.float32(0.7718155))]"
['acyclovir'],['pleural effusion'],"[('acyclovir', 'pleural effusion', np.float32(0.80078334))]"
['ethylenediamine'],['aminophylline hypersensitivity'],"[('ethylenediamine', 'aminophylline hypersensitivity', np.float32(0.8658549))]"
['ampicillin'],[],"[(None, None, None)]"
['bupropion'],['seizures'],"[('bupropion', 'seizures', np.float32(0.88765454))]"
"['pexid', 'perhexiline maleate']",[],"[(None, None, None)]"
"['ribavirin', 'interferon']",[],"[(None, None, None)]"
"['ganciclovir', 'cidofovir']",['cmv infection'],"[('ganciclovir', 'cmv infection', np.float32(0.8728625)), ('cidofovir', 'cmv infection', np.float32(0.87779534))]"
[],['seizures'],"[(None, None, None)]"
['hydroxyurea'],[],"[(None, None, None)]"
['linezolid'],['acute interstitial nephritis'],"[('linezolid', 'acute interstitial nephritis', np.float32(0.90053904))]"
"['vancomycin', 'tazobactam']",['neuralgic amyotrophy'],"[('vancomycin', 'neuralgic amyotrophy', np.float32(0.9452645)), ('tazobactam', 'neuralgic amyotrophy', np.float32(0.94549984))]"
['cyclosporin'],['cholelithiasis'],"[('cyclosporin', 'cholelithiasis', np.float32(0.9688611))]"
[],[],"[(None, None, None)]"
['methotrexate'],[],"[(None, None, None)]"
[],['pulmonary toxicity'],"[(None, None, None)]"
['levodopa'],"['myoclonus', 'seizures']","[('levodopa', 'myoclonus', np.float32(0.8708324)), ('levodopa', 'seizures', np.float32(0.7500558))]"
"['pegvisomant', 'octreotide']",['hepatitis'],"[('pegvisomant', 'hepatitis', np.float32(0.5993382)), ('octreotide', 'hepatitis', np.float32(0.5832108))]"
['valproate'],[],"[(None, None, None)]"
"['pexid', 'perhexiline maleate']",[],"[(None, None, None)]"
['clindamycin'],[],"[(None, None, None)]"
['clozapine'],['tardive ogc'],"[('clozapine', 'tardive ogc', np.float32(0.7909459))]"
['vpa'],['mania'],"[('vpa', 'mania', np.float32(0.8806725))]"
['baclofen'],['withdrawal syndrome'],"[('baclofen', 'withdrawal syndrome', np.float32(0.8090667))]"
[],"['cerebral vascular malformation', 'hemorrhage']","[(None, None, None)]"
['warfarin'],[],"[(None, None, None)]"
['vincristine'],['hepatotoxicity'],"[('vincristine', 'hepatotoxicity', np.float32(0.82331127))]"
['dapsone'],[],"[(None, None, None)]"
['trimethoprim-sulfamethoxazole'],"['colitis', 'pseudomembranous colitis']","[('trimethoprim-sulfamethoxazole', 'colitis', None), ('trimethoprim-sulfamethoxazole', 'pseudomembranous colitis', None)]"
['bleomycin'],['scleroderma'],"[('bleomycin', 'scleroderma', np.float32(0.8802165))]"
['fludarabine'],['aml'],"[('fludarabine', 'aml', np.float32(0.94937396))]"
['fk506'],['rta'],"[('fk506', 'rta', np.float32(0.9923371))]"
['choline magnesium trisalicylate'],['hepatotoxicity'],"[('choline magnesium trisalicylate', 'hepatotoxicity', np.float32(0.8517518))]"
['rofecoxib'],['lower gastrointestinal symptoms'],"[('rofecoxib', 'lower gastrointestinal symptoms', np.float32(0.8225008))]"
"['clozapine', 'clomipramine']",[],"[(None, None, None)]"
"['sertraline', 'fluoxetine']",['itch'],"[('sertraline', 'itch', np.float32(0.831748)), ('fluoxetine', 'itch', np.float32(0.84049404))]"
['dexamethasone'],['osteonecrosis'],"[('dexamethasone', 'osteonecrosis', np.float32(0.9894744))]"
"['clarithromycin', 'carbamazepine']",[],"[(None, None, None)]"
['minocycline'],[],"[(None, None, None)]"
['retinoic acid'],['retinoic acid syndrome'],"[('retinoic acid', 'retinoic acid syndrome', np.float32(0.90037435))]"
"['5-fu', 'thymidine']","['neurologic symptoms', 'encephalopathy', 'coma']","[('5-fu', 'neurologic symptoms', None), ('5-fu', 'encephalopathy', None), ('5-fu', 'coma', None), ('thymidine', 'neurologic symptoms', np.float32(0.75539094)), ('thymidine', 'encephalopathy', np.float32(0.8397268)), ('thymidine', 'coma', np.float32(0.8582617))]"
['hcq'],['ventricular tachycardia'],"[('hcq', 'ventricular tachycardia', np.float32(0.71531415))]"
['ono-1078'],['acute interstitial pneumonia'],"[('ono-1078', 'acute interstitial pneumonia', np.float32(0.78410673))]"
['naltrexone'],['heroin abuser'],"[('naltrexone', 'heroin abuser', np.float32(0.9807396))]"
['amphotericin b deoxycholate'],['cardiac toxicity'],"[('amphotericin b deoxycholate', 'cardiac toxicity', np.float32(0.82341045))]"
['hydroxyurea'],['acute leukemia'],"[('hydroxyurea', 'acute leukemia', np.float32(0.7270557))]"
['benztropine'],[],"[(None, None, None)]"
['ritodrine'],['pulmonary edema'],"[('ritodrine', 'pulmonary edema', np.float32(0.79929304))]"
"['methylphenidate', 'dextroamphetamine']",[],"[(None, None, None)]"
['cisplatin'],['anaphylaxis'],"[('cisplatin', 'anaphylaxis', np.float32(0.7919227))]"
['itraconazole'],[],"[(None, None, None)]"
[],['myopathy'],"[(None, None, None)]"
"['metronidazole', 'sulphonamide']",['myopia'],"[('metronidazole', 'myopia', np.float32(0.94398713)), ('sulphonamide', 'myopia', np.float32(0.9763271))]"
"['mmf', 'prednisone']",[],"[(None, None, None)]"
"['carmustine', 'bcnu']",['acute interstitial pneumonitis'],"[('carmustine', 'acute interstitial pneumonitis', np.float32(0.7812237)), ('bcnu', 'acute interstitial pneumonitis', np.float32(0.7839152))]"
"['fmf', 'colchicine']",['myopathy'],"[('fmf', 'myopathy', np.float32(0.9681382)), ('colchicine', 'myopathy', np.float32(0.9172434))]"
['vgb'],[],"[(None, None, None)]"
['ciprofloxacin'],"['vasculitis', 'hemorrhagic vasculitis']","[('ciprofloxacin', 'vasculitis', np.float32(0.9177924)), ('ciprofloxacin', 'hemorrhagic vasculitis', np.float32(0.94117826))]"
['ifn'],['chf'],"[('ifn', 'chf', np.float32(0.66885185))]"
['olanzapine'],['hyperglycemia'],"[('olanzapine', 'hyperglycemia', np.float32(0.85374707))]"
"['carbamazepine', 'cbz']",[],"[(None, None, None)]"
"['infliximab', 'tnfalpha']",['sleep apnea'],"[('infliximab', 'sleep apnea', np.float32(0.86983526)), ('tnfalpha', 'sleep apnea', np.float32(0.9866525))]"
['zomepirac sodium'],[],"[(None, None, None)]"
['leflunomide'],[],"[(None, None, None)]"
"['interferon alpha', 'interferon']",['vogt-koyanagi-harada disease'],"[('interferon alpha', 'vogt-koyanagi-harada disease', np.float32(0.55603635)), ('interferon', 'vogt-koyanagi-harada disease', np.float32(0.5361676))]"
['quinine'],['photosensitivity'],"[('quinine', 'photosensitivity', np.float32(0.6102223))]"
['imatinib mesylate'],['blast crisis'],"[('imatinib mesylate', 'blast crisis', np.float32(0.9897556))]"
['carboplatin'],['hypersensitivity'],"[('carboplatin', 'hypersensitivity', np.float32(0.7888252))]"
"['ethambutol', 'rifampicin']","['hepatitis', 'polyarthritis']","[('ethambutol', 'hepatitis', np.float32(0.69494826)), ('ethambutol', 'polyarthritis', np.float32(0.900881)), ('rifampicin', 'hepatitis', np.float32(0.68547595)), ('rifampicin', 'polyarthritis', np.float32(0.9243581))]"
['paclitaxel'],['plp'],"[('paclitaxel', 'plp', np.float32(0.9028371))]"
['dapsone'],[],"[(None, None, None)]"
"['ribavirin', 'ifn-alpha']",[],"[(None, None, None)]"
['tolazoline'],['duodenal ulceration'],"[('tolazoline', 'duodenal ulceration', np.float32(0.90256786))]"
