text,drug,effect,indexes
this paper reports an autopsy case of a 78-year-old male with multiple nodules in the liver developed after long-termed administration of phosphate diethylstilbestrol (pdes) for prostatic cancer,phosphate diethylstilbestrol,multiple nodules in the liver,"{'drug': {'start_char': array([138], dtype=int32), 'end_char': array([166], dtype=int32)}, 'effect': {'start_char': array([62], dtype=int32), 'end_char': array([91], dtype=int32)}}"
"we describe a patient who, after receiving his first dose of pregabalin to relieve neuropathic pain, presented with a negative myoclonus",pregabalin,negative myoclonus,"{'drug': {'start_char': array([61], dtype=int32), 'end_char': array([71], dtype=int32)}, 'effect': {'start_char': array([118], dtype=int32), 'end_char': array([136], dtype=int32)}}"
we report a 53-year-old-man who developed rippling muscle disease (rmd) 2 months after starting simvastatin therapy for hypercholesterolemia,simvastatin,rippling muscle disease,"{'drug': {'start_char': array([96], dtype=int32), 'end_char': array([107], dtype=int32)}, 'effect': {'start_char': array([42], dtype=int32), 'end_char': array([65], dtype=int32)}}"
the association between heparin and priapism is often recognized; abnormal platelet aggregation could play a role in the pathogenesis of this side effect,heparin,abnormal platelet aggregation,"{'drug': {'start_char': array([24], dtype=int32), 'end_char': array([31], dtype=int32)}, 'effect': {'start_char': array([66], dtype=int32), 'end_char': array([95], dtype=int32)}}"
we report two cases of tenofovir (tdf)-associated nephrotoxicity in perinatally hiv-infected adolescents,tdf,nephrotoxicity,"{'drug': {'start_char': array([34], dtype=int32), 'end_char': array([37], dtype=int32)}, 'effect': {'start_char': array([50], dtype=int32), 'end_char': array([64], dtype=int32)}}"
"the cause of these previously unreported side effects of niacin therapy is uncertain but may be related to prostaglandin-mediated vasodilatation, hyperalgesia of sensory nerve receptors, and potentiation of inflammation in the gingiva with referral of pain to the teeth",niacin,pain to the teeth,"{'drug': {'start_char': array([57], dtype=int32), 'end_char': array([63], dtype=int32)}, 'effect': {'start_char': array([252], dtype=int32), 'end_char': array([269], dtype=int32)}}"
the occurrence of symptoms that could be ascribed to an acute coronary syndrome should always be taken seriously during the first rituximab infusion and investigated aggressively,rituximab,acute coronary syndrome,"{'drug': {'start_char': array([130], dtype=int32), 'end_char': array([139], dtype=int32)}, 'effect': {'start_char': array([56], dtype=int32), 'end_char': array([79], dtype=int32)}}"
"after administration of oxybutynin concomitantly with an increase in the dose of dantrolene, she presented the clinical symptoms and laboratory finding of carbamazepine intoxication",oxybutynin,carbamazepine intoxication,"{'drug': {'start_char': array([24], dtype=int32), 'end_char': array([34], dtype=int32)}, 'effect': {'start_char': array([155], dtype=int32), 'end_char': array([181], dtype=int32)}}"
sulfasalazine has been associated with bronchopulmonary complications of inflammatory bowel disease (ibd) in adults,sulfasalazine,bronchopulmonary complications of inflammatory bowel disease,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([13], dtype=int32)}, 'effect': {'start_char': array([39], dtype=int32), 'end_char': array([99], dtype=int32)}}"
"the day after clozapine was stopped, while he was still receiving clomipramine 150 mg/d, he began behaving oddly, started sweating profusely, shivering, and became tremulous, agitated, and confused",clozapine,shivering,"{'drug': {'start_char': array([14], dtype=int32), 'end_char': array([23], dtype=int32)}, 'effect': {'start_char': array([142], dtype=int32), 'end_char': array([151], dtype=int32)}}"
"however, in the mid-to-late 1980s, a series of letters to the editor and case reports announced an association between tamoxifen therapy in women with breast cancer and the development of endometrial carcinoma",tamoxifen,endometrial carcinoma,"{'drug': {'start_char': array([119], dtype=int32), 'end_char': array([128], dtype=int32)}, 'effect': {'start_char': array([188], dtype=int32), 'end_char': array([209], dtype=int32)}}"
"the knowledge concerning vgb-associated visual dysfunction in pediatric patients, particularly in those who have been exposed to vgb in utero is limited",vgb,visual dysfunction,"{'drug': {'start_char': array([ 25, 129], dtype=int32), 'end_char': array([ 28, 132], dtype=int32)}, 'effect': {'start_char': array([40], dtype=int32), 'end_char': array([58], dtype=int32)}}"
case report: mannitol nephrotoxicity syndrome: role of hemodialysis and postulate of mechanisms,mannitol,nephrotoxicity syndrome,"{'drug': {'start_char': array([13], dtype=int32), 'end_char': array([21], dtype=int32)}, 'effect': {'start_char': array([22], dtype=int32), 'end_char': array([45], dtype=int32)}}"
we have described three patients with hepatitis c for whom ifn-alpha and ribavirin were prescribed and who developed two successive phases of silent thyroiditis followed by hyperthryroidism relapse due to graves' disease,ribavirin,thyroiditis,"{'drug': {'start_char': array([73], dtype=int32), 'end_char': array([82], dtype=int32)}, 'effect': {'start_char': array([149], dtype=int32), 'end_char': array([160], dtype=int32)}}"
azathioprine can cause severe myelosuppression,azathioprine,myelosuppression,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([12], dtype=int32)}, 'effect': {'start_char': array([30], dtype=int32), 'end_char': array([46], dtype=int32)}}"
autoimmune thyroid disease is a common side-effect of interferon-alpha (ifn-alpha) treatment of viral hepatitis c,ifn-alpha,autoimmune thyroid disease,"{'drug': {'start_char': array([72], dtype=int32), 'end_char': array([81], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([26], dtype=int32)}}"
"objective: the purpose of this study was to determine whether desensitization to nph insulin, as well as standard insulin desensitization, could control allergic symptoms in a patient allergic to both nph and regular insulin",nph insulin,allergic symptoms,"{'drug': {'start_char': array([81], dtype=int32), 'end_char': array([92], dtype=int32)}, 'effect': {'start_char': array([153], dtype=int32), 'end_char': array([170], dtype=int32)}}"
dihydropyrimidine dehydrogenase deficiency: a pharmacogenetic defect causing severe adverse reactions to 5-fluorouracil-based chemotherapy,5-fluorouracil,severe adverse reactions,"{'drug': {'start_char': array([105], dtype=int32), 'end_char': array([119], dtype=int32)}, 'effect': {'start_char': array([77], dtype=int32), 'end_char': array([101], dtype=int32)}}"
colonic mucosal necrosis following administration of calcium polystryrene sulfonate (kalimate) in a uremic patient,calcium polystryrene sulfonate,colonic mucosal necrosis,"{'drug': {'start_char': array([53], dtype=int32), 'end_char': array([83], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([24], dtype=int32)}}"
"an association of granulocytopenia, eosinophilia, skin reaction and hepatitis during propylthiouracil (ptu) therapy for thyrotoxicosis in a 47 year old black female is reported",ptu,hepatitis,"{'drug': {'start_char': array([103], dtype=int32), 'end_char': array([106], dtype=int32)}, 'effect': {'start_char': array([68], dtype=int32), 'end_char': array([77], dtype=int32)}}"
"mean time between initiation of gemcitabine therapy and onset of hus was 7.4 +/- 3.5 months, or 21.9 +/- 10.9 doses of gemcitabine",gemcitabine,hus,"{'drug': {'start_char': array([ 32, 119], dtype=int32), 'end_char': array([ 43, 130], dtype=int32)}, 'effect': {'start_char': array([65], dtype=int32), 'end_char': array([68], dtype=int32)}}"
"ards has been associated with the administration of other monoclonal antibodies, such as infliximab, gemtuzumab ozogamicin, and okt3 and is believed to be directly mediated by release of proinflammatory cytokines",okt3,ards,"{'drug': {'start_char': array([128], dtype=int32), 'end_char': array([132], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([4], dtype=int32)}}"
clofazimine enteropathy in a pediatric bone marrow transplant recipient,clofazimine,enteropathy,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([11], dtype=int32)}, 'effect': {'start_char': array([12], dtype=int32), 'end_char': array([23], dtype=int32)}}"
"the pharmaceutical company producing halfan has reported 8 cardiac arrests, leading to 6 deaths, when a higher dose than recommended was used, there was recent or concomitant treatment with mefloquine, there was pre-existing prolongation of the qt interval or the patient had a thiamine deficiency",mefloquine,deaths,"{'drug': {'start_char': array([190], dtype=int32), 'end_char': array([200], dtype=int32)}, 'effect': {'start_char': array([89], dtype=int32), 'end_char': array([95], dtype=int32)}}"
severe loss of vision after removal of cataract caused by intravitreal triamcinolone in combination with photodynamic therapy for exudative age-related macular degeneration,triamcinolone,cataract,"{'drug': {'start_char': array([71], dtype=int32), 'end_char': array([84], dtype=int32)}, 'effect': {'start_char': array([39], dtype=int32), 'end_char': array([47], dtype=int32)}}"
this is a unique autopsy case of hepatocellular carcinoma closely related to diethylstilbestrol (des) therapy for prostatic cancer,des,hepatocellular carcinoma,"{'drug': {'start_char': array([97], dtype=int32), 'end_char': array([100], dtype=int32)}, 'effect': {'start_char': array([33], dtype=int32), 'end_char': array([57], dtype=int32)}}"
the interval between initiating treatment with interferon alfa and onset of anterior ischemic optic neuropathy was similar to that of interferon-associated vascular retinopathy,interferon alfa,anterior ischemic optic neuropathy,"{'drug': {'start_char': array([47], dtype=int32), 'end_char': array([62], dtype=int32)}, 'effect': {'start_char': array([76], dtype=int32), 'end_char': array([110], dtype=int32)}}"
"listeria brain abscess, pneumocystis pneumonia and kaposi's sarcoma after temozolomide",temozolomide,listeria brain abscess,"{'drug': {'start_char': array([74], dtype=int32), 'end_char': array([86], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([22], dtype=int32)}}"
"the possible effects of tamoxifen upon the uterus are discussed in this article, in view of reports of tamoxifen associated with endometrial carcinoma and endometriosis",tamoxifen,endometrial carcinoma,"{'drug': {'start_char': array([ 24, 103], dtype=int32), 'end_char': array([ 33, 112], dtype=int32)}, 'effect': {'start_char': array([129], dtype=int32), 'end_char': array([150], dtype=int32)}}"
aminophylline hypersensitivity apparently due to ethylenediamine,ethylenediamine,aminophylline hypersensitivity,"{'drug': {'start_char': array([49], dtype=int32), 'end_char': array([64], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([30], dtype=int32)}}"
"a 44-year-old woman is described in whom amiodarone, disopyramide, and quinidine, administered alone separately, induced atypical ventricular tachycardia (avt, torsade de pointes",amiodarone,avt,"{'drug': {'start_char': array([41], dtype=int32), 'end_char': array([51], dtype=int32)}, 'effect': {'start_char': array([155], dtype=int32), 'end_char': array([158], dtype=int32)}}"
we report the case of a 51-year-old man in whom ifn-alpha treatment was followed by recurrence of graves' disease 10 years after thyroidectomy was performed and the patient was declared cured,ifn-alpha,graves' disease,"{'drug': {'start_char': array([48], dtype=int32), 'end_char': array([57], dtype=int32)}, 'effect': {'start_char': array([98], dtype=int32), 'end_char': array([113], dtype=int32)}}"
thrombotic thrombocytopenic purpura induced by trimethoprim-sulfamethoxazole in a jehovah's witness,trimethoprim,thrombotic thrombocytopenic purpura,"{'drug': {'start_char': array([47], dtype=int32), 'end_char': array([59], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([35], dtype=int32)}}"
"discussion: amphotericin b deoxycholate has been reported to produce significant cardiac toxicity, with ventricular arrhythmias and bradycardia reported in overdoses in children and in adults with preexisting cardiac disease, even when administered in conventional dosages and infusion rates",amphotericin b deoxycholate,bradycardia,"{'drug': {'start_char': array([12], dtype=int32), 'end_char': array([39], dtype=int32)}, 'effect': {'start_char': array([132], dtype=int32), 'end_char': array([143], dtype=int32)}}"
acute sensorineural hearing loss following intravenous ketoralac administration,ketoralac,acute sensorineural hearing loss,"{'drug': {'start_char': array([55], dtype=int32), 'end_char': array([64], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([32], dtype=int32)}}"
"after rechallenge with monotherapy pegvisomant, however, the hepatic enzyme disturbances reappeared within a few weeks, indicating that most likely pegvisomant alone and not the long-acting somatostatin analog or the combination of these two drugs was responsible for this case of drug-induced hepatitis",pegvisomant,hepatic enzyme disturbances,"{'drug': {'start_char': array([ 35, 148], dtype=int32), 'end_char': array([ 46, 159], dtype=int32)}, 'effect': {'start_char': array([61], dtype=int32), 'end_char': array([88], dtype=int32)}}"
the case of an adult who developed both hepatic dysfunction and an impaired macrophage migration after exposure to cimetidine is discussed,cimetidine,hepatic dysfunction,"{'drug': {'start_char': array([115], dtype=int32), 'end_char': array([125], dtype=int32)}, 'effect': {'start_char': array([40], dtype=int32), 'end_char': array([59], dtype=int32)}}"
heparin-induced thrombocytopenia complicated with massive thrombosis of the inferior vena cava after filter placement,heparin,massive thrombosis of the inferior vena cava,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([7], dtype=int32)}, 'effect': {'start_char': array([50], dtype=int32), 'end_char': array([94], dtype=int32)}}"
acute pancreatitis associated with danazol treatment for endometriosis,danazol,acute pancreatitis,"{'drug': {'start_char': array([35], dtype=int32), 'end_char': array([42], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([18], dtype=int32)}}"
posterior reversible encephalopathy syndrome (pres) induced by cyclosporine use in a patient with collapsing focal glomeruloesclerosis,pres,posterior reversible encephalopathy syndrome,"{'drug': {'start_char': array([46], dtype=int32), 'end_char': array([50], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([44], dtype=int32)}}"
this case highlights the need to monitor liver enzymes in patients treated with 6-tg and identifies the need for additional research focused on the mechanism of thiopurine-induced hepatic injury,thiopurine,hepatic injury,"{'drug': {'start_char': array([161], dtype=int32), 'end_char': array([171], dtype=int32)}, 'effect': {'start_char': array([180], dtype=int32), 'end_char': array([194], dtype=int32)}}"
mannitol-induced arf responds promptly to hemodialysis with rapid resolution of anuria and recovery of renal failure,mannitol,arf,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([8], dtype=int32)}, 'effect': {'start_char': array([17], dtype=int32), 'end_char': array([20], dtype=int32)}}"
"the authors also determined that their case of myositis developing in the rectus abdominus muscle of a patient with pancreatic adenocarcinoma was the manifestation of radiation recall, thereby bringing the number of patients who developed radiation recall to gemcitabine and were discussed in the current study to 13",gemcitabine,radiation recall,"{'drug': {'start_char': array([259], dtype=int32), 'end_char': array([270], dtype=int32)}, 'effect': {'start_char': array([167, 239], dtype=int32), 'end_char': array([183, 255], dtype=int32)}}"
"after the addition of citalopram, a desmethylclomipramine plasma level increase and an 8-hydroacy-desmethylclomipramine plasma level decrease were observed",citalopram,8-hydroacy-desmethylclomipramine plasma level decrease,"{'drug': {'start_char': array([22], dtype=int32), 'end_char': array([32], dtype=int32)}, 'effect': {'start_char': array([87], dtype=int32), 'end_char': array([141], dtype=int32)}}"
"the authors present an elderly patient with mixed dementia who developed td at multiple sites, (including respiratory dyskinesia [rd], limb dyskinesia, and orofacial dyskinesia) following abrupt withdrawal of risperidone therapy",risperidone,td,"{'drug': {'start_char': array([209], dtype=int32), 'end_char': array([220], dtype=int32)}, 'effect': {'start_char': array([73], dtype=int32), 'end_char': array([75], dtype=int32)}}"
mr findings in methotrexate-induced cns abnormalities,methotrexate,cns abnormalities,"{'drug': {'start_char': array([15], dtype=int32), 'end_char': array([27], dtype=int32)}, 'effect': {'start_char': array([36], dtype=int32), 'end_char': array([53], dtype=int32)}}"
"transient left homonymous hemianopsia and encephalopathy following treatment of testicular carcinoma with cisplatinum, vinblastine, and bleomycin",cisplatinum,encephalopathy,"{'drug': {'start_char': array([106], dtype=int32), 'end_char': array([117], dtype=int32)}, 'effect': {'start_char': array([42], dtype=int32), 'end_char': array([56], dtype=int32)}}"
three patients developed proteinuria following gold therapy for rheumatoid arthritis,gold,proteinuria,"{'drug': {'start_char': array([47], dtype=int32), 'end_char': array([51], dtype=int32)}, 'effect': {'start_char': array([25], dtype=int32), 'end_char': array([36], dtype=int32)}}"
"the mechanism of the decrease in plasma potassium induced by phosphate treatment was investigated in a 24-year-old hypertensive patient with hypophosphatemic osteomalacia, who was the youngest of four patients, belonging to a 23 number kindred of five generations",phosphate,decrease in plasma potassium,"{'drug': {'start_char': array([ 61, 145], dtype=int32), 'end_char': array([ 70, 154], dtype=int32)}, 'effect': {'start_char': array([21], dtype=int32), 'end_char': array([49], dtype=int32)}}"
background: we describe the ophthalmic features and clinical course of two cases of acute syphilitic posterior placoid chorioretinitis (asppc) that developed after intravitreal triamcinolone acetonide (ivta) injection,triamcinolone acetonide,acute syphilitic posterior placoid chorioretinitis,"{'drug': {'start_char': array([177], dtype=int32), 'end_char': array([200], dtype=int32)}, 'effect': {'start_char': array([84], dtype=int32), 'end_char': array([134], dtype=int32)}}"
diffuse alveolar hemorrhage after leflunomide therapy in a patient with rheumatoid arthritis,leflunomide,diffuse alveolar hemorrhage,"{'drug': {'start_char': array([34], dtype=int32), 'end_char': array([45], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([27], dtype=int32)}}"
case 4: a 61-year-old male alcoholic who remained completely abstinent while taking cyanamide for 3 years showed slight elevation of serum transaminases,cyanamide,elevation of serum transaminases,"{'drug': {'start_char': array([84], dtype=int32), 'end_char': array([93], dtype=int32)}, 'effect': {'start_char': array([120], dtype=int32), 'end_char': array([152], dtype=int32)}}"
our case points to the need for increased awareness by the general pediatricians of the potential hazards of mineral oil use for chronic constipation,mineral oil,potential hazards,"{'drug': {'start_char': array([109], dtype=int32), 'end_char': array([120], dtype=int32)}, 'effect': {'start_char': array([88], dtype=int32), 'end_char': array([105], dtype=int32)}}"
prenatal cytomegalovirus (cmv) infection associated with severe brain damage was detected in an infant whose mother had been treated with prednisolone and azathioprine for systemic lupus erythematosus (sle,prednisolone,prenatal cytomegalovirus (cmv) infection,"{'drug': {'start_char': array([138], dtype=int32), 'end_char': array([150], dtype=int32)}, 'effect': {'start_char': array([], dtype=int32), 'end_char': array([], dtype=int32)}}"
heparin-induced thrombocytopenia is a rare and serious complication of anticoagulation therapy,heparin,thrombocytopenia,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([7], dtype=int32)}, 'effect': {'start_char': array([16], dtype=int32), 'end_char': array([32], dtype=int32)}}"
l-dopa-induced excessive daytime sleepiness in pd: a placebo-controlled case with mslt assessment,l-dopa,daytime sleepiness,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([6], dtype=int32)}, 'effect': {'start_char': array([25], dtype=int32), 'end_char': array([43], dtype=int32)}}"
"ards is rarely associated with rituximab infusion for lympho-proliferative disorders, but it should be considered by those administering rituximab, especially when a patient develops severe pulmonary symptoms soon after infusion",rituximab,severe pulmonary symptoms,"{'drug': {'start_char': array([ 31, 137], dtype=int32), 'end_char': array([ 40, 146], dtype=int32)}, 'effect': {'start_char': array([183], dtype=int32), 'end_char': array([208], dtype=int32)}}"
we report here two cases of dyserythropoietic anaemia associated with long-term linezolid use that share striking similarities to chloramphenicol-associated myelotoxicity,linezolid,dyserythropoietic anaemia,"{'drug': {'start_char': array([80], dtype=int32), 'end_char': array([89], dtype=int32)}, 'effect': {'start_char': array([28], dtype=int32), 'end_char': array([53], dtype=int32)}}"
clofazimine enteropathy caused by crystal deposition can be life-threatening,clofazimine,life-threatening,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([11], dtype=int32)}, 'effect': {'start_char': array([60], dtype=int32), 'end_char': array([76], dtype=int32)}}"
"therapy with ifn-alpha may be associated with a number of neuropsychiatric symptoms, such as parkinsonism, akathisia, seizure, and depressive disorders",ifn-alpha,depressive disorders,"{'drug': {'start_char': array([13], dtype=int32), 'end_char': array([22], dtype=int32)}, 'effect': {'start_char': array([131], dtype=int32), 'end_char': array([151], dtype=int32)}}"
hepatitis with bridging fibrosis and reversible hepatic insufficiency in a woman with rheumatoid arthritis taking methotrexate,methotrexate,reversible hepatic insufficiency,"{'drug': {'start_char': array([114], dtype=int32), 'end_char': array([126], dtype=int32)}, 'effect': {'start_char': array([37], dtype=int32), 'end_char': array([69], dtype=int32)}}"
"after three weeks of carbamazepine therapy, the patient arrived at the emergency department (ed) with severe agitation and aggressive behavior",carbamazepine,aggressive behavior,"{'drug': {'start_char': array([21], dtype=int32), 'end_char': array([34], dtype=int32)}, 'effect': {'start_char': array([123], dtype=int32), 'end_char': array([142], dtype=int32)}}"
drug-induced hepatitis in an acromegalic patient during combined treatment with pegvisomant and octreotide long-acting repeatable attributed to the use of pegvisomant,octreotide,hepatitis,"{'drug': {'start_char': array([96], dtype=int32), 'end_char': array([106], dtype=int32)}, 'effect': {'start_char': array([13], dtype=int32), 'end_char': array([22], dtype=int32)}}"
"to the best of our knowledge only two previous cases of aml have been linked to treatment of hcl with purine analogs, both with 2-chlorodeoxyadenosine",2-chlorodeoxyadenosine,aml,"{'drug': {'start_char': array([128], dtype=int32), 'end_char': array([150], dtype=int32)}, 'effect': {'start_char': array([56], dtype=int32), 'end_char': array([59], dtype=int32)}}"
"three patients, in whom tumour overkill by cytotoxic treatment, including high dose methotrexate with folinic acid rescue, resulted in the 'phosphate shower syndrome' (hyper-uricaemia, hyperkalaemia and hyperphosphataemia with hypocalcaemia and tetany, with metabolic acidosis and acute renal impairment) are described",methotrexate,hyper-uricaemia,"{'drug': {'start_char': array([84], dtype=int32), 'end_char': array([96], dtype=int32)}, 'effect': {'start_char': array([168], dtype=int32), 'end_char': array([183], dtype=int32)}}"
gemcitabine-associated hemolytic-uremic syndrome,gemcitabine,hemolytic-uremic syndrome,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([11], dtype=int32)}, 'effect': {'start_char': array([23], dtype=int32), 'end_char': array([48], dtype=int32)}}"
"the third patient had been suffering from serious akathisia while on risperidone, and was cured after switching to olanzapine, but thereafter the patient suffered from rls at nighttime",risperidone,akathisia,"{'drug': {'start_char': array([69], dtype=int32), 'end_char': array([80], dtype=int32)}, 'effect': {'start_char': array([50], dtype=int32), 'end_char': array([59], dtype=int32)}}"
"in case no. 2, the pathogenic mechanism seemed to be persistent light reaction preceded by systemic photoallergy, as he had taken mequitazine for 6 months, and there were strong positive photopatch test results with immediate erythema reaction, cross-reaction to promethazine, decreased med to both uva and uvb, and persistence of the photosensitivity over a 3-year follow-up period after discontinuation of the mequitazine",mequitazine,erythema,"{'drug': {'start_char': array([130, 412], dtype=int32), 'end_char': array([141, 423], dtype=int32)}, 'effect': {'start_char': array([226], dtype=int32), 'end_char': array([234], dtype=int32)}}"
a patient with acute changes suggesting acute hepatitis after parenteral amiodarone administration is described,amiodarone,acute hepatitis,"{'drug': {'start_char': array([73], dtype=int32), 'end_char': array([83], dtype=int32)}, 'effect': {'start_char': array([40], dtype=int32), 'end_char': array([55], dtype=int32)}}"
nonoliguric acute renal failure after captopril therapy,captopril,nonoliguric acute renal failure,"{'drug': {'start_char': array([38], dtype=int32), 'end_char': array([47], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([31], dtype=int32)}}"
"we postulate that cyclosporin, possibly together with ganciclovir, can produce transient brain stem or neuromuscular dysfunction with eye movement abnormality in occasional patients",ganciclovir,eye movement abnormality,"{'drug': {'start_char': array([54], dtype=int32), 'end_char': array([65], dtype=int32)}, 'effect': {'start_char': array([134], dtype=int32), 'end_char': array([158], dtype=int32)}}"
osteomyelitis occurring during infliximab treatment of severe psoriasis,infliximab,osteomyelitis,"{'drug': {'start_char': array([31], dtype=int32), 'end_char': array([41], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([13], dtype=int32)}}"
intravenous administration of levodopa ameliorated a refractory akathisia case induced by interferon-alpha,interferon-alpha,akathisia,"{'drug': {'start_char': array([90], dtype=int32), 'end_char': array([106], dtype=int32)}, 'effect': {'start_char': array([64], dtype=int32), 'end_char': array([73], dtype=int32)}}"
"acute severe intoxication with carbamazepine is associated with seizures, coma and respiratory depression",carbamazepine,respiratory depression,"{'drug': {'start_char': array([31], dtype=int32), 'end_char': array([44], dtype=int32)}, 'effect': {'start_char': array([83], dtype=int32), 'end_char': array([105], dtype=int32)}}"
"accordingly, camptocormia is a dose-dependent side effect of valproate",valproate,camptocormia,"{'drug': {'start_char': array([61], dtype=int32), 'end_char': array([70], dtype=int32)}, 'effect': {'start_char': array([13], dtype=int32), 'end_char': array([25], dtype=int32)}}"
"hypersensitivity to carboplatin has been reported in up to 44% of patients receiving this antineoplastic agent, usually occurring after several courses of treatment",carboplatin,hypersensitivity,"{'drug': {'start_char': array([20], dtype=int32), 'end_char': array([31], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([16], dtype=int32)}}"
gemcitabine-related radiation recall preferentially involves internal tissue and organs,gemcitabine,radiation recall,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([11], dtype=int32)}, 'effect': {'start_char': array([20], dtype=int32), 'end_char': array([36], dtype=int32)}}"
"we report a case of a previously healthy, postmenopausal woman who developed anticonvulsant hypersensitivity syndrome while taking bellamine s (belladonna alkaloids; ergotamine; phenobarbital) for hot flashes",bellamine s,anticonvulsant hypersensitivity syndrome,"{'drug': {'start_char': array([131], dtype=int32), 'end_char': array([142], dtype=int32)}, 'effect': {'start_char': array([77], dtype=int32), 'end_char': array([117], dtype=int32)}}"
nephrotic syndrome associated with interferon-beta-1b therapy for multiple sclerosis,interferon-beta-1b,nephrotic syndrome,"{'drug': {'start_char': array([35], dtype=int32), 'end_char': array([53], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([18], dtype=int32)}}"
"although this combination agent has been associated with a hypersensitivity syndrome involving cutaneous skin eruptions, pediatric cases of tmp-smx-induced hepatotoxicity are rare",tmp-smx,hepatotoxicity,"{'drug': {'start_char': array([140], dtype=int32), 'end_char': array([147], dtype=int32)}, 'effect': {'start_char': array([156], dtype=int32), 'end_char': array([170], dtype=int32)}}"
"background: to assess the nature, incidence, and risk factors of retinopathy associated with pegylated interferon and ribavirin combination therapy in chronic hepatitis c patients",pegylated interferon,retinopathy,"{'drug': {'start_char': array([93], dtype=int32), 'end_char': array([113], dtype=int32)}, 'effect': {'start_char': array([65], dtype=int32), 'end_char': array([76], dtype=int32)}}"
objective: to describe two cases of rhabdomyolysis in patients taking lovastatin that were precipitated by the use of the newer macrolide antibiotics clarithromycin and azithromycin,clarithromycin,rhabdomyolysis,"{'drug': {'start_char': array([150], dtype=int32), 'end_char': array([164], dtype=int32)}, 'effect': {'start_char': array([36], dtype=int32), 'end_char': array([50], dtype=int32)}}"
"a 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (tmp)-sulfamethoxazole (smx) treatment",smx,fever,"{'drug': {'start_char': array([296], dtype=int32), 'end_char': array([299], dtype=int32)}, 'effect': {'start_char': array([123], dtype=int32), 'end_char': array([128], dtype=int32)}}"
results: a 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and cutaneous fragility on the face and the back of the hands,oxaprozin,tense bullae,"{'drug': {'start_char': array([96], dtype=int32), 'end_char': array([105], dtype=int32)}, 'effect': {'start_char': array([146], dtype=int32), 'end_char': array([158], dtype=int32)}}"
the cases of cbz-induced sle reported in the literature were reviewed,cbz,sle,"{'drug': {'start_char': array([13], dtype=int32), 'end_char': array([16], dtype=int32)}, 'effect': {'start_char': array([25], dtype=int32), 'end_char': array([28], dtype=int32)}}"
prenatal cytomegalovirus (cmv) infection associated with severe brain damage was detected in an infant whose mother had been treated with prednisolone and azathioprine for systemic lupus erythematosus (sle,prednisolone,brain damage,"{'drug': {'start_char': array([138], dtype=int32), 'end_char': array([150], dtype=int32)}, 'effect': {'start_char': array([64], dtype=int32), 'end_char': array([76], dtype=int32)}}"
paradoxical seizures in phenytoin toxicity,phenytoin,seizures,"{'drug': {'start_char': array([24], dtype=int32), 'end_char': array([33], dtype=int32)}, 'effect': {'start_char': array([12], dtype=int32), 'end_char': array([20], dtype=int32)}}"
delay of corneal wound healing in patients treated with colchicine,colchicine,delay of corneal wound healing,"{'drug': {'start_char': array([56], dtype=int32), 'end_char': array([66], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([30], dtype=int32)}}"
the relation between tacrolimus treatment and staining was suggested by the appearance of pigmentation during topical tacrolimus treatment and its clinical disappearance when treatment was stopped,tacrolimus,pigmentation,"{'drug': {'start_char': array([ 21, 118], dtype=int32), 'end_char': array([ 31, 128], dtype=int32)}, 'effect': {'start_char': array([90], dtype=int32), 'end_char': array([102], dtype=int32)}}"
